series_number,part_number,item_number,level,title,call_number,object_number,priref,intellectual_entity,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
1,4.0,185,ITEM,"Item 185: Tribune negatives including Campaign Against Atomic Tests boat ""Trident"" and crew, and book launch for ""No Saddles for Kangaroos"" by Ralph de Boissiere, 1964-1967?",ON 161/Item 185,1269553,110374102,IE4531172,between 1964 and 1967?,1900-01-01 00:00:00,1900-01-01 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374102,http://archival.sl.nsw.gov.au/Details/archive/110374028,36,FL4531174|FL4531183|FL4531187|FL4531189|FL4531191|FL4531194|FL4531196|FL4531197|FL4531198|FL4531199|FL4531200|FL4531201|FL4531202|FL4531203|FL4531205|FL4531206|FL4531207|FL4531208|FL4531209|FL4531212|FL4531213|FL4531216|FL4531218|FL4531220|FL4531222|FL4531224|FL4531230|FL4531234|FL4531236|FL4531238|FL4531240|FL4531242|FL4531243|FL4531244|FL4531245|FL4531246,"Original negative sleeve titled: Cosmos - sail boat against French tests, 24-2-67.|Includes:|Campaign Against Atomic Tests boat ""Trident"" and crew: Brian Haas, John Gregory, Peter Bryson, Robin Sanders, at Rushcutters Bay, 24 February 1967.|Book launch for ""No Saddles for Kangaroos"" by Ralph de Boissiere, 1964?|Printed page of regulations for National Conference.|Newcastle Trades Hall; signs in window reading ""The NSW Government ... new state ..."".|May include:|Sir Leslie Herron, Chief Justice of New South Wales; A.A. Calwell, Dymphna Cusack.",,sailing boats|book launches,,
1,5.0,241,ITEM,"Item 241: Tribune negatives including anti-Vietnam War rally at Sydney Stadium, 1967?",ON 161/Item 241,1290868,110374254,IE4548869,1967?,1900-01-01 00:00:00,1967-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374254,http://archival.sl.nsw.gov.au/Details/archive/110366667,36,FL4548871|FL4548873|FL4548874|FL4548875|FL4548877|FL4548878|FL4548879|FL4548880|FL4548881|FL4548882|FL4548884|FL4548887|FL4548889|FL4548891|FL4548892|FL4548893|FL4548894|FL4548895|FL4548897|FL4548898|FL4548900|FL4548902|FL4548904|FL4548905|FL4548906|FL4548908|FL4548910|FL4548912|FL4548914|FL4548915|FL4548916|FL4548917|FL4548918|FL4548919|FL4548920|FL4548924,"Original negative sleeve titled: Anti Viet. War Rally at Sydney Stadium.|Includes:|""End the War"" rally against the Vietnam War, Sydney Stadium.|Anti-war march, Kings Cross, Sydney.",,demonstrations|peace movement,,
1,5.0,242,ITEM,"Item 242: Tribune negatives including sawmill, 1967?",ON 161/Item 242,1290870,110374255,IE4549127,1967?,1900-01-01 00:00:00,1967-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374255,http://archival.sl.nsw.gov.au/Details/archive/110366667,35,FL4549129|FL4549136|FL4549140|FL4549142|FL4549146|FL4549150|FL4549154|FL4549159|FL4549161|FL4549162|FL4549164|FL4549165|FL4549167|FL4549168|FL4549171|FL4549174|FL4549176|FL4549177|FL4549179|FL4549181|FL4549186|FL4549188|FL4549189|FL4549191|FL4549194|FL4549195|FL4549201|FL4549203|FL4549205|FL4549208|FL4549209|FL4549211|FL4549213|FL4549215|FL4549217,"Original negative sleeve titled: Timber Supplier.|Includes:|Leo Martin, workers and grounds of sawmill.|""End the War"" rally against the Vietnam War, Sydney Stadium.",,timber industry activities|timber industry equipment|sawmills|timber workers,,
1,5.0,243,ITEM,"Item 243: Tribune negatives including building suppliers, ""Vigil for Peace"", Canberra, and demonstration for Aboriginal rights, 1967",ON 161/Item 243,1290871,110374256,IE4534780,1967,1900-01-01 00:00:00,1967-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374256,http://archival.sl.nsw.gov.au/Details/archive/110366667,36,FL4534782|FL4534784|FL4534786|FL4534787|FL4534789|FL4534790|FL4534792|FL4534793|FL4534794|FL4534796|FL4534797|FL4534798|FL4534799|FL4534800|FL4534802|FL4534803|FL4534804|FL4534805|FL4534806|FL4534808|FL4534809|FL4534810|FL4534811|FL4534812|FL4534814|FL4534817|FL4534818|FL4534819|FL4534820|FL4534821|FL4534822|FL4534823|FL4534824|FL4534825|FL4534826|FL4534827,"Original negative sleeve titled: Anti Viet. War Rally, Canberra.|Includes:|Building supply companies and premises, including Wallsend Bricks, Macquarie Timber & Building Supplies, and M.H.C. Development, Rows 1-3.|Crowds and speakers at unidentified outdoor meeting or rally, Row 4.|""Vigil for Peace"" sponsored by the International Committee of Conscience on Vietnam, Canberra, 18 August 1967, Row 5.|Demonstration in support of rights for Aboriginals, Row 6.",,building suppliers|demonstrations|Aboriginal peoples (Australians),,
1,6.0,266,ITEM,"Item 266: Tribune negatives including the International Trade Fair, Sydney Showground, and Bill Jeffery, October 1967",ON 161/Item 266,1296813,110374495,IE4546075,,1900-01-01 00:00:00,1900-01-01 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374495,http://archival.sl.nsw.gov.au/Details/archive/110374463,34,FL4546077|FL4546079|FL4546080|FL4546081|FL4546082|FL4546083|FL4546084|FL4546085|FL4546087|FL4546089|FL4546091|FL4546093|FL4546095|FL4546096|FL4546098|FL4546101|FL4546102|FL4546105|FL4546106|FL4546107|FL4546108|FL4546109|FL4546110|FL4546111|FL4546112|FL4546113|FL4546114|FL4546115|FL4546116|FL4546117|FL4546118|FL4546119|FL4546120|FL4546121,"Original negative sleeve titled: 24-27 October 1967.|Includes:|June Mills, Row 1, no. 6.|Bill Jeffery, Northern Territory Aboriginal Welfare Officer, at Manly, 24 October 1967, Rows 2-3.|International Trade Fair, Sydney Showground: German Democratic Republic's pavilion: Ewald Scitert, Hildegard Liewald, Barbara Kostig, Irmgard Kempf, 25 October 1967.|Copy of Fortune magazine, ""Australia For Sale"". German Democratic Republic Press officer Ursula Lange at the Trade Fair, 27 October 1967, Row 6, nos. 1-4.|October Revolution celebrations at Sydney Town Hall, sponsored by the May Day Committee and the Australia - USSR Friendship Society, 3 November 1967, Row 1, nos. 4-5.|Anti-war protesters, Kings Cross, Sydney.",,trade shows|craft working,,
1,6.0,279,ITEM,"Item 279: Tribune negatives including Tribune popular sellers Christmas function, and photos of ship for WWF compensation case, December 1967",ON 161/Item 279,1302368,110374530,IE4549662,,1900-01-01 00:00:00,1900-01-01 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374530,http://archival.sl.nsw.gov.au/Details/archive/110374463,36,FL4549664|FL4549667|FL4549669|FL4549670|FL4549672|FL4549674|FL4549676|FL4549678|FL4549679|FL4549681|FL4549682|FL4549684|FL4549685|FL4549687|FL4549688|FL4549689|FL4549690|FL4549692|FL4549693|FL4549694|FL4549696|FL4549697|FL4549698|FL4549699|FL4549701|FL4549702|FL4549704|FL4549705|FL4549707|FL4549708|FL4549710|FL4549711|FL4549714|FL4549715|FL4549716|FL4549718,"Includes:|Photographs of ship's deck and cargo hold, taken for a compensation case on behalf of the Waterside Workers' Federation, December 1967, Rows 1-2.|Alan Allport presenting a cheque to Tribune, December 1967?, Row 3, nos. 1-4.|Tribune popular sellers Christmas function, December 1967, Rows 3-6.",,cargo ships|Christmas parties,Waterside Workers' Federation of Australia|Tribune (Newspaper),
1,7.0,305,ITEM,"Item 305 : Tribune negatives including model of the Sydney Opera House on display at Sydney Town Hall, January 1965 and Fort Denison, Sydney Harbour, NSW",ON 161/Item 305,1336570,110374689,IE4545565,,1900-01-01 00:00:00,1900-01-01 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374689,http://archival.sl.nsw.gov.au/Details/archive/110374573,33,FL4545567|FL4545568|FL4545569|FL4545570|FL4545571|FL4545572|FL4545573|FL4545574|FL4545575|FL4545576|FL4545577|FL4545578|FL4545579|FL4545580|FL4545581|FL4545582|FL4545583|FL4545584|FL4545585|FL4545586|FL4545587|FL4545588|FL4545589|FL4545590|FL4545591|FL4545593|FL4545596|FL4545597|FL4545598|FL4545599|FL4545600|FL4545601|FL4545602,"Includes:|Model of the Opera House on display at Sydney Town Hall, January 1965|Fort Denison, Sydney Harbour, NSW",Sydney Opera House--Design and construction.,theatres & cinemas,,"Sydney Town Hall (Sydney, N.S.W.)|Fort Denison (Sydney, N.S.W.)"
1,8.0,372,ITEM,"Item 372: Tribune negatives including teachers at Tivoli and Belmore Park meeting, demonstration at the Greek Consulate, unidentified man with vehicle, trade union leaders meeting, cricketers Freddie Truman, Colin Milburn, Basil D'Oliveria, Gary Sobers interviewed for the World Championship Cricket, September 1968",ON 161/Item 372,1344391,110375009,IE4544365,,1900-01-01 00:00:00,1900-01-01 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375009,http://archival.sl.nsw.gov.au/Details/archive/110374750,36,FL4544367|FL4544371|FL4544375|FL4544378|FL4544380|FL4544384|FL4544386|FL4544388|FL4544390|FL4544392|FL4544395|FL4544398|FL4544400|FL4544401|FL4544402|FL4544403|FL4544406|FL4544409|FL4544411|FL4544414|FL4544418|FL4544421|FL4544424|FL4544425|FL4544428|FL4544430|FL4544432|FL4544435|FL4544437|FL4544438|FL4544439|FL4544441|FL4544448|FL4544449|FL4544450|FL4544451,"Original negative sleeve titled:  World Ch'ship Cricketers Sept' 68|Includes:|Teachers at Tivoli and Belmore Park meeting. Row 1.|Greek demonstration at the Greek Consulate. Rows 1-2.|Unidentified man stands with vehicle. Row 3.|Trade union leaders meeting against fare increase, at the Trades Hall. Row 4.|Cricketers Freddie Truman, Colin Milburn, Basil D'Oliveria, Gary Sobers interviewed at Mascot airport for the World Championship Cricket. Rows 5-6.",,trade unions|teachers|demonstrators (political)|demonstrations|meetings|cricket|cricket teams,"Sobers, Garry, 1936-|Tivoli Theatre (Sydney, N.S.W.)",
1,11.0,531,ITEM,"Item 531: Tribune negatives including unidentified meetings and lectures, n.d.",ON 161/Item 531,1342001,110374818,IE4566152,,1900-01-01 00:00:00,1900-01-01 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374818,http://archival.sl.nsw.gov.au/Details/archive/110374753,34,FL4566224|FL4566225|FL4566226|FL4566227|FL4566228|FL4566232|FL4566233|FL4566234|FL4566235|FL4566237|FL4566239|FL4566241|FL4566242|FL4566243|FL4566244|FL4566246|FL4566247|FL4566250|FL4566252|FL4566259|FL4566263|FL4566265|FL4566267|FL4566270|FL4566271|FL4566273|FL4566275|FL4566277|FL4566279|FL4566280|FL4566281|FL4566283|FL4566286|FL4566288,"Includes:|Speakers and audience from unidentified meeting Rows 1-3.|Speakers at unidentified meeting in front of poster saying ""Lenin 1870-1924"", Row 4 no. 4-5, row 5.",,meetings|audiences,"Lenin, Vladimir Ilich, 1870-1924.",
1,11.0,532,ITEM,"Item 532: Tribune negatives including demonstration outside Honeywell and meeting on migrant housing, n.d.",ON 161/Item 532,1342003,110374820,IE4564054,,1900-01-01 00:00:00,1900-01-01 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374820,http://archival.sl.nsw.gov.au/Details/archive/110374753,36,FL4564140|FL4564143|FL4564144|FL4564146|FL4564148|FL4564150|FL4564151|FL4564153|FL4564154|FL4564156|FL4564157|FL4564159|FL4564161|FL4564163|FL4564164|FL4564166|FL4564169|FL4564171|FL4564174|FL4564176|FL4564177|FL4564179|FL4564181|FL4564183|FL4564185|FL4564187|FL4564189|FL4564190|FL4564193|FL4564196|FL4564200|FL4564205|FL4564209|FL4564215|FL4564217|FL4564220,"Includes:|Demonstration outside Honeywell company, 863 Bourke Street, Waterloo, Row 2, row 3 no. 1-2|Meeting about migrant and Aboriginal housing, Row 3 no. 3-6, rows 4-6.",,meetings|demonstrations,Honeywell Ltd.,"Bourke Street (Waterloo, N.S.W.)"
1,14.0,664,ITEM,"Item 664: Tribune negatives including demonstration calling for the release of Angela Davis, trade unions' amalgamation meeting, demonstration calling for a variety of social justice issues, demonstration against the United States of America's use of bombs in Vietnam, a small demonstration demanding troops serving in Vietnam get out of Vietnam, n.d.",ON 161/Item 664,1344359,110374980,IE4581314,,1900-01-01 00:00:00,1900-01-01 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374980,http://archival.sl.nsw.gov.au/Details/archive/110366672,36,FL4581450|FL4581451|FL4581452|FL4581453|FL4581454|FL4581455|FL4581456|FL4581457|FL4581458|FL4581459|FL4581460|FL4581461|FL4581462|FL4581463|FL4581464|FL4581465|FL4581466|FL4581467|FL4581468|FL4581469|FL4581470|FL4581471|FL4581472|FL4581473|FL4581474|FL4581475|FL4581476|FL4581477|FL4581478|FL4581479|FL4581480|FL4581481|FL4581482|FL4581483|FL4581484|FL4581485,"Includes:|Demonstration calling for the release of Angela Davis, outside the US Embassy, Row 1 no. 1-5.|Flow chart from the trade unions' amalgamation meeting, and the table of speakers from the meeting, Row 1 no. 6, row 2 no. 1-3.|Demonstration calling for a variety of social justice issues including the release of Angela Davis, pensioners, workers' compensation, and the Vietnam War, attended by a variety of unions marching in procession, Row 2 no. 4-6. rows 3-4, row 5 no. 1-3.|Demonstration against the United States of America's use of bombs in Vietnam, Row 5 no. 4-6, row 6 no. 1.|A small demonstration of university students in the University of Sydney quadrangle demanding troops serving in Vietnam get out of Vietnam, Row 6 no. 2-6.",,processions|demonstrations|posters & placards|trade unions|Vietnam War|university students,,University of Sydney (N.S.W.)
