word,count
sydney,989
negative sleeve,870
may,398
march,396
august,387
july,354
october,338
september,330
june,309
april,298
november,297
melbourne,231
february,226
demonstration,196
december,168
vietnam,146
australia,141
town hall,123
australian,119
unidentified,115
wales,87
may day,86
january,86
aboriginal,83
canberra,72
uranium,70
communist party,67
wollongong,61
meeting,58
book launch,54
hiroshima,51
peter murphy,48
portrait,47
newcastle,47
martin,44
's day,43
nsw,43
centre,42
timor,40
adelaide,39
portraits,39
abortion,38
melb,37
glebe,37
aborigines,36
trades,35
pine gap,34
victoria,32
hyde,31
anti-vietnam,31
trib,31
syd,31
african,30
darling harbour,30
philippines,30
waterside,29
protest,29
consulate,28
nurses,28
unemployed,27
anti-apartheid,27
queensland,27
sept,27
wynyard,27
labourers,27
liverpool,26
demonstrators,26
left,25
gay,25
unions,25
congress,25
land,24
wentworth,24
budget,24
public meeting,24
redfern,23
anzac,22
elections,22
nuclear,22
black,22
parramatta,21
opera house,21
america,21
jack mundey,21
banners reading,21
aug,21
chile,20
photos,20
parliament house,20
industrial union,20
anti-conscription,20
africa,19
george,19
union meeting,19
oct,19
stop,19
copy,19
monorail,18
brisbane,18
transport,18
placards reading,18
mascot,18
commonwealth,18
liberation,17
posters reading,17
paddington,17
bwiu,17
pensioners,17
war demonstration,17
indo-china,17
alp,17
land rights,16
tasmania,16
wwf,16
peace march,16
el salvador,16
cuba,16
vietnam moratorium,16
tom uren,16
amazon,15
leichhardt,15
seamen,15
n.s.w,15
vic,15
art,15
woman,15
cpa,15
nos,14
hobart,14
abc,14
building workers,14
aboriginal tent,14
press conference,14
soweto,14
tribune sellers,14
police presence,14
actu,14
anti,13
laurie aarons,13
blf,13
anne includes,13
railway,13
rail,13
tribune fair,13
ky,13
miners,13
sydney includes,13
balmain,13
boilermakers,13
garden island,12
blacksmiths,12
state parliament,12
usa,12
migrant,12
stephen,12
gathering,12
amalgamated,12
p. murphy,12
iwd,12
carlotta mcintosh includes,12
bill white,12
postal,12
zealand,12
malcolm salmon,12
greece,12
railways,12
printing,12
city streets,12
aust,11
bob hawke,11
images,11
labor party,11
strike meeting,11
guinea,11
strike,11
construction site,11
crowd,11
medicare,11
jan,11
shipwrights,11
posters,11
group portraits,11
bondi,11
youth week,11
nuclear free,11
solidarity,11
national service act,11
townsville,11
day march,11
roger milliss,11
newcastle includes,11
right,11
dexter daniels,11
eddie funde,10
intervention,10
day demonstration,10
high school,10
greenpeace,10
work meeting,10
sydney harbour,10
arthur calwell,10
nov,10
walgett,10
fraser,10
botany,10
day street,10
tribune seller,10
demo,10
australian journalists,10
kanaky,10
phillip,10
wharfies,10
welcome,10
trade unions,10
uaw,10
liverpool womens,10
julie rigg,10
limited,10
anc,10
feb,10
jim stevens,10
labor party conference,10
mid,10
anti-war,10
central court,9
kembla,9
large,9
feb.,9
wendy,9
collective,9
roll,9
rally,9
kindred,9
fisher,9
job,9
[ i.e,9
heavy industries,9
moratorium,9
solidarity demonstration,9
