word,count
sydney,1119
demonstration,821
march,640
may,526
meeting,494
unidentified,404
august,392
july,363
october,345
day,342
1,332
september,330
june,319
6,317
workers,317
1979,312
1978,311
april,306
women,300
november,299
1980,294
1986,258
melbourne,257
3,257
4,253
hall,253
rally,245
1990,245
5,242
union,241
1985,240
february,228
1977,228
1967,227
south,220
2,213
conference,210
outside,197
nos,195
vietnam,191
1-2,184
new,181
australia,178
protest,176
party,175
1966,174
australian,172
december,170
1984,169
tribune,168
war,162
1987,162
street,161
1968,157
1983,156
building,154
1981,151
town,148
speakers,143
portraits,138
1-3,138
demo,136
aboriginal,133
1965,132
5-6,129
park,127
university,121
4-6,119
peace,115
house,114
audience,113
1976,111
people,106
85,106
launch,105
1982,105
wales,101
1988,100
86,98
uranium,97
men,96
1-4,95
ca,95
rights,94
national,94
strike,93
regarding,93
book,93
federation,90
peter,87
banners,87
january,86
including,86
international,84
reading,84
communist,83
murphy,82
students,81
canberra,81
trade,81
teachers,81
bill,80
police,78
1-5,78
office,77
3-6,77
council,77
public,77
centre,76
labor,75
posters,74
jim,74
john,73
group,71
land,69
state,69
unions,69
man,68
campaign,68
wollongong,67
trades,67
1989,67
city,67
student,66
solidarity,66
harbour,65
abortion,64
newcastle,63
saying,63
portrait,62
picket,62
banner,62
placards,62
youth,62
nsw,61
free,61
us,61
association,61
education,60
1970,60
martin,59
demonstrators,59
theatre,59
hiroshima,58
support,58
jack,57
photos,57
1975,56
victoria,55
anti,54
woman,54
parliament,54
gay,54
2-6,54
housing,53
work,52
congress,52
health,52
syd,52
george,50
1974,50
7,50
industrial,49
melb,49
conscription,49
timor,48
court,48
stop,47
place,47
african,47
nuclear,47
builders,47
school,47
f,46
ship,45
consulate,45
nurses,45
speeches,45
festival,45
adelaide,45
bay,44
press,44
speaking,44
22,44
speaker,44
construction,44
members,44
2-3,43
art,43
4-5,43
glebe,43
mundey,43
anti-vietnam,43
committee,43
pat,42
1-6,42
labourers,42
signs,42
president,42
aarons,41
exhibition,41
service,41
white,41
dr,40
3-4,40
streets,40
soviet,40
brian,39
bob,39
action,39
aborigines,39
budget,39
pay,38
front,38
st,38
sept,38
opening,38
darling,38
right,38
poster,37
dinner,37
liverpool,37
black,37
week,37
gap,37
annotated,37
pine,37
jan,37
moratorium,37
images,36
children,36
liberation,36
trib,36
elections,36
queensland,35
87,35
waterside,35
hotel,35
site,35
philippines,35
metal,35
anne,35
shop,35
early,34
unemployed,34
kings,33
commonwealth,33
wynyard,33
tom,33
cuts,33
long,33
crowd,33
event,33
young,33
embassy,32
election,32
84,32
hyde,32
sign,32
demonstrations,32
large,32
conf,32
1969,32
aug,32
anti-conscription,32
18,32
date,31
left,31
joe,31
oct,31
views,31
8,31
harry,31
anti-apartheid,31
two,30
l,30
world,30
act,30
2-4,30
seamen,30
meetings,30
presence,30
photo,30
frank,29
apartheid,29
11,29
fair,29
photographer,29
