place,count
"Sydney Town Hall (Sydney, N.S.W.)",31
University of Sydney (N.S.W.),31
Newcastle (N.S.W.),13
"United States Consulate-General (7 Wynyard Street, Sydney, N.S.W.)",12
"Martin Place (Sydney, N.S.W.)",11
"Wentworth Park (Sydney, N.S.W.)",11
"George Street (Sydney, N.S.W.)",8
Sydney Harbour (N.S.W.),8
"Wynyard Park (Sydney, N.S.W.)",8
Cuba,7
"Hyde Park (Sydney, N.S.W.)",7
"Parliament House (Sydney, N.S.W.)",6
"Aboriginal Tent Embassy (Canberra, A.C.T.)",6
Wauchope Region (N.S.W.),5
"Central Police Court (Liverpool Street, Sydney, N.S.W.)",5
Sydney Opera House (N.S.W.),5
Moree (N.S.W.),4
Canberra (A.C.T.),4
Pine Gap (N.T.),4
"Parliament House (Parkes, A.C.T.)",4
"Ye Olde Crusty Taverne (255 George Street, Sydney, N.S.W.)",3
"Paddington Town Hall (Paddington, N.S.W.)",3
Bondi Beach (N.S.W.),3
Bougainville (Papua New Guinea),3
Woolloomooloo (N.S.W.),3
"Sydney Harbour Bridge (Sydney, N.S.W.)",3
"Sydney Cricket Ground (Sydney, N.S.W.)",3
"Elizabeth Street (Sydney, N.S.W.)",3
Sydney (N.S.W.),3
Bulli (N.S.W.),3
"Pitt Street (Sydney, N.S.W.)",3
Redfern (N.S.W.),3
Alexandria (N.S.W.),2
Philippines,2
"Park Street (Sydney, N.S.W.)",2
"Redfern Oval (Elizabeth Street, Redfern, N.S.W.)",2
Burwood Council Chambers,2
"Bankstown Square (Bankstown, N.S.W.)",2
Art Gallery of New South Wales,2
"Moore Park (Sydney, N.S.W.)",2
McMahons Point (N.S.W.),2
"Macquarie Street (Sydney, N.S.W.)",2
Kings Cross (N.S.W),2
"Bronte Park (Bronte, N.S.W.)",2
Richmond (N.S.W.),2
Fairfield (N.S.W.),2
"Eveleigh Railway Workshops (Redfern, N.S.W.)",2
Dee Why (N.S.W.),2
Coogee Beach (N.S.W.),2
Clarence River (N.S.W.),2
"Circular Quay (Sydney, N.S.W.)",2
Chullora Railway Workshops (N.S.W.),2
"Central Railway Station (Sydney, N.S.W.)",2
"Redfern Railway Station (Redfern, N.S.W.)",2
china,2
"War Memorial (Hyde Park, Sydney, N.S.W.)",2
"Sydney Stadium (Rushcutters Bay, N.S.W.)",2
Wallace Theatre,2
University of Sydney Library (N.S.W.),2
"St. Paul's College (University of Sydney, N.S.W.)",2
"Trades Hall (Goulburn Street, Sydney, N.S.W.)",2
Sydney Showground (N.S.W.),2
Walsh Bay (N.S.W.),1
"Commonwealth Office (Martin Place, Sydney, N.S.W.)",1
"Domain, The (Sydney, N.S.W.)",1
"Commonwealth Bank (Pitt Street and Martin Place, Sydney, N.S.W.)",1
"Crown Street (Wollongong, N.S.W.)",1
Cockatoo Island (N.S.W.),1
"Clyde Engineering (Granville, N.S.W.)",1
Darling Harbour (N.S.W.),1
"Darlinghurst Court House (Darlinghurst, N.S.W.)",1
David Jones (Sydney) Ltd.,1
Walgett Region (N.S.W.),1
"Dept. Trade & Industry (ANZ Building, corner Pitt & Hunter Streets, Sydney, N.S.W.)",1
"St. James Station (Sydney, N.S.W.)",1
Circular Quay No. 4,1
"Victoria Street (Sydney, N.S.W.)",1
"Victoria Park (Sydney, N.S.W.)",1
"Fort Denison (Sydney, N.S.W.)",1
Garden Island (N.S.W.),1
"General Post Office (Sydney, N.S.W.)",1
"Victoria Barracks (Paddington, N.S.W.)",1
Gladstone (Qld.),1
"Gowings Building (corner George & Market Streets, Sydney, N.S.W.)",1
Granville (N.S.W.),1
"Great Synagogue (Sydney, N.S.W.)",1
Gunnamatta Bay (N.S.W.),1
Gunnedah (N.S.W.),1
"Harwood Ferry (Grafton District, N.S.W.)",1
Harwood Island (N.S.W.),1
Walgett (N.S.W.),1
Waterloo (N.S.W.),1
Warringah Expressway,1
Hotel Canberra (A.C.T.),1
Adelaide (S. Aust.),1
"Woods Lane (East Sydney, N.S.W.)",1
"Aquatic Club (corner Riley & Cathedral Streets, Woolloomooloo, N.S.W.)",1
Wollongong (N.S.W.),1
"Australia Square (Sydney, N.S.W.)",1
"Australian Iron and Steel (Port Kembla, N.S.W.)",1
"Australian Lubricating Oil Refinery (Kurnell, N.S.W.)",1
"Balmain Town Hall (Balmain, N.S.W.)",1
"Bank of New South Wales (George Street, Sydney, N.S.W.)",1
Bankstown (N.S.W.),1
"White City (Rushcutters Bay, N.S.W.)",1
"Belmore Park (Sydney, N.S.W.)",1
Berowra Waters (N.S.W.),1
Boggabilla (N.S.W.),1
White Bay (N.S.W.),1
Botany Bay (N.S.W.),1
"Wharf no. 11 (Walsh Bay, N.S.W.)",1
"Bourke Street (Waterloo, N.S.W.)",1
Bowraville (N.S.W.),1
Wee Waa (N.S.W.),1
Waverley Park,1
"Waverley Cemetery (Waverley, N.S.W.)",1
"Campbell Street (Sydney, N.S.W.)",1
"Waverley Bus Depot (Oxford Street, Bondi Junction, N.S.W.)",1
"Cathedral Street (Woolloomooloo, N.S.W.)",1
"Cenotaph (Martin Place, Sydney, N.S.W.)",1
"Centennial Park (Sydney, N.S.W.)",1
"Watsons Bay Hotel (Watsons Bay, N.S.W.)",1
"Waterside Workers' Federation of Australia Building (66 Sussex Street, Sydney, N.S.W.)",1
"Hordern Pavilion (Sydney Showground, N.S.W.)",1
Illawarra (N.S.W.),1
"Hunter Street (Sydney, N.S.W.)",1
Vanuatu,1
"Northern Suburbs Memorial Gardens and Crematorium (North Ryde, N.S.W.)",1
"Old Treasury Building (Sydney, N.S.W.)",1
"Oxford Street (Sydney, N.S.W.)",1
Paddington (N.S.W.),1
Papua New Guinea,1
"Parliament House (Canberra, A.C.T.)",1
Sydney Metropolitan Area (N.S.W.),1
"Sydney Hospital (Macquarie Street, Sydney, N.S.W.)",1
"Parramatta Road (Petersham, N.S.W.)",1
Petersham Inn (N.S.W.),1
"Swanston Street (Melbourne, Vic.)",1
"Sussex Street (Sydney, N.S.W.)",1
Surry Hills (N.S.W.),1
Poland,1
Port Kembla (N.S.W.),1
Pyrmont (N.S.W.),1
"Pyrmont Bridge (Sydney, N.S.W.)",1
"Queen Victoria Building (Sydney, N.S.W.)",1
"Surf House (62 Buckingham Street, Surry Hills, N.S.W.)",1
"State Office Block (Bent Street, Sydney, N.S.W.)",1
"State Dockyard (Dyke End, Newcastle, N.S.W.)",1
Rockdale Town Hall (N.S.W.),1
"Rocks, The (Sydney, N.S.W.)",1
Roselands Shopping Centre (N.S.W.),1
"Royal Hyde Park Hotel (Elizabeth Street, Sydney, N.S.W.)",1
"Rushcutter Bowl (Bayswater Road, Rushcutters Bay, N.S.W.)",1
Rushcutters Bay (N.S.W.),1
Silverwater Prison,1
South Australia,1
North Sydney (N.S.W.),1
Sydney Stock Exchange,1
"New Theatre (Sydney, N.S.W.)",1
"Liberal House (30 Ash Street, Sydney, N.S.W.)",1
South Bondi (N.S.W.),1
Indonesia,1
"Industrial Court (Temple Court, 75 Elizabeth Street, Sydney, N.S.W.)",1
Inverell (N.S.W.),1
Ireland,1
Japan,1
"John Northcott Place (Belvoir Street, Surry Hills, N.S.W.)",1
"King Street (Sydney, N.S.W.)",1
"King's Head Hotel (199 Elizabeth Street, Sydney, N.S.W.)",1
Kings Langley (N.S.W.),1
"Kingsford-Smith Airport (Sydney, N.S.W.)",1
Kurnell Oil Refinery,1
La Perouse (N.S.W.),1
Lismore (N.S.W.),1
New Guinea,1
"Liverpool Arms (King Street, Sydney, N.S.W.)",1
"Liverpool Street (Sydney, N.S.W.)",1
Long Bay Gaol (N.S.W.),1
University of New South Wales. Roundhouse,1
Manly (N.S.W.),1
University of New South Wales,1
"Trocadero (George Street, Sydney, N.S.W.)",1
Melbourne (Vic.),1
"Teachers' Federation Building (166 Phillip Street, Sydney, N.S.W.)",1
Moree Aboriginal Station (N.S.W.),1
Nambucca Heads (N.S.W.),1
"York Street (Sydney, N.S.W.)",1
New Caledonia,1
National Library of Australia (A.C.T.),1
