series_number,part_number,item_number,level,title,call_number,object_number,priref,intellectual_entity,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
1,1.0,49,ITEM,"Item 049: Tribune negatives including demonstration at University of New South Wales, and anti-Vietnam War demonstration, Sydney, New South Wales, August 1965",ON 161/Item 049,1051112,110370240,IE4517651,August 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370240,http://archival.sl.nsw.gov.au/Details/archive/110366604,29,FL4517653|FL4517655|FL4517656|FL4517659|FL4517665|FL4517667|FL4517668|FL4517679|FL4517682|FL4517686|FL4517691|FL4517694|FL4517695|FL4517696|FL4517699|FL4517705|FL4517707|FL4517709|FL4517710|FL4517712|FL4517715|FL4517717|FL4517718|FL4517721|FL4517726|FL4517728|FL4517729|FL4517731|FL4517732,"Includes:|Lobby Train trip to Canberra. Donnelly [i.e. Tim Donnelly] of the Canberra Trades & Labor Council, 18 August 1965.|Hiroshima Day March and rally at Trocadero, Sydney, 8 August 1965.|[Anti-Vietnam War protest, Liverpool Street, Sydney].|[Crowd blocking road, near University of New South Wales].|[Meeting or event, see also ON 161/Item 047].|[Protesters, probably at Central Railway Station, Sydney.  On destination board Special train, Waterside Workers' Federation to Canberra]","Vietnam War, 1961-1975--Protest movements--New South Wales--Sydney|Anti-war demonstrations--New South Wales--Sydney.|Demonstrations--New South Wales--Sydney.",crowds|roads & streets|police|posters & placards|demonstrations|banners|audiences|ministers of religion,,"University of New South Wales|Liverpool Street (Sydney, N.S.W.)|Parliament House (Parkes, A.C.T.)"
1,2.0,94,ITEM,Item 094: Tribune negatives including anti-Vietnam War demonstration and University of Sydney Orientation Day,ON 161/Item 094,1248717,110373885,IE4523418,February-March 1966,1966-02-01 00:00:00,1966-03-31 00:00:00,31 negatives,http://archival.sl.nsw.gov.au/Details/archive/110373885,http://archival.sl.nsw.gov.au/Details/archive/110366554,31,FL4523420|FL4523421|FL4523422|FL4523423|FL4523424|FL4523425|FL4523426|FL4523427|FL4523428|FL4523429|FL4523430|FL4523431|FL4523432|FL4523433|FL4523434|FL4523435|FL4523436|FL4523437|FL4523438|FL4523439|FL4523440|FL4523441|FL4523442|FL4523443|FL4523444|FL4523445|FL4523446|FL4523447|FL4523448|FL4523449|FL4523450,"Includes:|Canberra Anti-Vietnam War Vigil Committee meeting at the State Theatre : Dr. Jim Cairns, Professor Charles Birch, Reverend G. Garrett.|Anti-Vietnam War demonstration outside of the home of the Minister of Labour and National Service L. Bury, March 1966, Row 4.|Orientation Day at Sydney University, February 1966 : Picketing of Army Recruiting Office, Row 3, nos 1-2.|Orientation Day at Sydney University, February 1966 : Anti-Vietnam War Peace Stand, Row 3, no 3.|Orientation Day at Sydney University, February 1966 : Student Action For Aborigines, Row 3, no. 4|Tribune and Neos Kosmos seller : Gwen George [?], March 1966, Row 5","Vietnam War, 1961-1975--Protest movements--New South Wales--Sydney|Anti-war demonstrations--New South Wales--Sydney.",demonstrations|newspapers,"Cairns, Jim, 1914-2003|University of Sydney|Tribune (Newspaper)|Neos kosmos (Melbourne, Vic.)",University of Sydney (N.S.W.)
1,7.0,335,ITEM,"Item 335: Tribune negatives including Sydney University students meeting and speeches regarding Conscription,  ¶student demonstration, and New Theatre production portraits for ""America Hurrah"", June 1968",ON 161/Item 335,1341997,110374814,IE4538882,June 1968,1968-06-01 00:00:00,1968-06-30 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374814,http://archival.sl.nsw.gov.au/Details/archive/110374573,36,FL4538941|FL4538942|FL4538944|FL4538945|FL4538946|FL4538948|FL4538950|FL4538952|FL4538954|FL4538955|FL4538957|FL4538958|FL4538960|FL4538961|FL4538962|FL4538963|FL4538967|FL4538968|FL4538970|FL4538973|FL4538976|FL4538978|FL4538979|FL4538982|FL4538984|FL4538985|FL4538986|FL4538988|FL4538991|FL4538992|FL4538993|FL4538995|FL4538996|FL4538997|FL4538999|FL4539001,"Includes:|Sydney University students meeting and speeches at the oval regarding conscription. Rows 1-3.|Student demonstration outside of the Commonwealth Office block, Chifley Square, June 1968. Row 4.|New Theatre production portraits for ""America Hurrah"", June 1968. Rows 5-6.",,university students|conscription|demonstrations|theatre groups (performers)|actors|meetings,"New Theatre (Sydney, N.S.W.)",University of Sydney (N.S.W.)
1,7.0,343,ITEM,"Item 343: Tribune negatives including police officer speaks to demonstrators on street, student demonstration opposing Conscription Bill,  and Sydney University student speeches, June 1968",ON 161/Item 343,1342043,110374851,IE4539525,June 1968,1968-06-01 00:00:00,1968-06-30 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374851,http://archival.sl.nsw.gov.au/Details/archive/110374573,34,FL4539600|FL4539602|FL4539603|FL4539605|FL4539607|FL4539611|FL4539613|FL4539614|FL4539615|FL4539616|FL4539617|FL4539618|FL4539620|FL4539621|FL4539623|FL4539625|FL4539627|FL4539629|FL4539631|FL4539632|FL4539633|FL4539635|FL4539636|FL4539637|FL4539638|FL4539640|FL4539641|FL4539643|FL4539649|FL4539651|FL4539653|FL4539655|FL4539659|FL4539662,"Includes:|Police officer speaks to demonstrators on street, posters include ""Conscription is immoral: the national service act and amendments are anti-democratic"". Row 1.|Student demonstration opposing Conscription Bill in front of Commonwealth Bank building in Martin Place. Rows 2-3, 5-6.|Sydney University student speeches at the oval regarding conscription. Row 4.",,conscription|demonstrations|police|university students|posters & placards,,"University of Sydney (N.S.W.)|Commonwealth Bank (Pitt Street and Martin Place, Sydney, N.S.W.)"
1,7.0,345,ITEM,"Item 345: Tribune negatives including demonstrators marching, Dexter Daniels speaks to students at Sydney University, and police arrest people at student occupation of Liberal Party Headquarters, July 1968",ON 161/Item 345,1342061,110374863,IE4539759,July 1968,1968-07-01 00:00:00,1968-07-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374863,http://archival.sl.nsw.gov.au/Details/archive/110374573,34,FL4539843|FL4539846|FL4539848|FL4539850|FL4539853|FL4539861|FL4539863|FL4539865|FL4539868|FL4539871|FL4539875|FL4539876|FL4539879|FL4539880|FL4539882|FL4539886|FL4539888|FL4539889|FL4539890|FL4539894|FL4539896|FL4539903|FL4539904|FL4539905|FL4539906|FL4539910|FL4539911|FL4539912|FL4539915|FL4539917|FL4539919|FL4539920|FL4539929|FL4539934,"Includes:|Demonstrators march on road and tram lines. Row 1.|Dexter Daniels speaking to students on the main lawn at Sydney University, July 1968. Rows 2-3.|Police arrest people at student occupation of Liberal Party Headquarters in Ash Street. Rows 4-6.",,university students|demonstrations|occupations|processions|posters & placards|police|political parties|arrests,,"Liberal House (30 Ash Street, Sydney, N.S.W.)|University of Sydney (N.S.W.)"
1,7.0,346,ITEM,"Item 346: Tribune negatives including portrait of unidentified man, women attend the Equal Pay case in Melbourne, demonstrators march on street, unidentified man talks into microphone, people sit in room, student demonstration at Sydney University, March 1969",ON 161/Item 346,1342069,110374868,IE4541529,March 1969,1969-03-01 00:00:00,1969-03-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374868,http://archival.sl.nsw.gov.au/Details/archive/110374573,36,FL4541660|FL4541662|FL4541665|FL4541667|FL4541677|FL4541679|FL4541681|FL4541683|FL4541685|FL4541687|FL4541688|FL4541690|FL4541696|FL4541698|FL4541701|FL4541704|FL4541710|FL4541712|FL4541713|FL4541714|FL4541715|FL4541716|FL4541717|FL4541720|FL4541725|FL4541727|FL4541731|FL4541734|FL4541735|FL4541738|FL4541743|FL4541746|FL4541747|FL4541748|FL4541749|FL4541750,"Includes:|Portrait of unidentified man. Row 1.|Women who attended the Equal Pay case in Melbourne, banners on stage include "" Equal pay rate for the job"" and ""The female bar attendants won equal pay with support of the men"", March 1969. Rows 2-4.|Demonstrators march on street, unidentified man talks into microphone, people sit in room (possibly lecture theatre) sign in room says ""ALF loves Admin"". Row 4.|Student demonstration at Sydney University. Row 4 no. 23-24, row 5 no. 25, row 6.",,demonstrations|processions|wages|women|banners,,University of Sydney (N.S.W.)
1,7.0,348,ITEM,"Item 348: Tribune negatives including demonstrators in front of Daily Telegraph building, petrol stations, students' union meeting at UNSW, people speak in front of crowd, hotel workers demonstration, July 1968",ON 161/Item 348,1342080,110374878,IE4555837,July 1968,1968-07-01 00:00:00,1968-07-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374878,http://archival.sl.nsw.gov.au/Details/archive/110374573,36,FL4555839|FL4555842|FL4555844|FL4555845|FL4555846|FL4555847|FL4555848|FL4555852|FL4555853|FL4555854|FL4555855|FL4555856|FL4555858|FL4555860|FL4555862|FL4555865|FL4555869|FL4555871|FL4555873|FL4555874|FL4555876|FL4555877|FL4555879|FL4555880|FL4555882|FL4555884|FL4555885|FL4555887|FL4555890|FL4555894|FL4555895|FL4555897|FL4555898|FL4555900|FL4555901|FL4555903,"Includes:|Demonstrators in front of Daily Telegraph building. Row 1.|Petrol station with sign saying ""sorry no petrol"". Row 2.|Students' Union meeting at the University of New South Wales Roundhouse, unidentified persons speak in front of crowd, banner reads ""ALF loves Admin"". Rows 3-5.||Hotel workers demonstration in front of Liverpool Arms Hotel and Temple Court, banners include ""I am a hostile hostel worker"". Row 6.",,trade unions|demonstrations|banners|posters & placards|processions|university students,,"University of New South Wales. Roundhouse|Liverpool Arms (King Street, Sydney, N.S.W.)|Industrial Court (Temple Court, 75 Elizabeth Street, Sydney, N.S.W.)"
1,8.0,353,ITEM,"Item 353: Tribune negatives including construction work at Sydney Opera House, two men in sports store with tennis racquets, Sydney Hospital, small car tries to move through large crowd at Sydney University, 1968?",ON 161/Item 353,1343952,110374927,IE4538237,1968,1968-01-01 00:00:00,1968-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374927,http://archival.sl.nsw.gov.au/Details/archive/110374750,31,FL4538271|FL4538272|FL4538273|FL4538274|FL4538275|FL4538276|FL4538277|FL4538278|FL4538279|FL4538280|FL4538281|FL4538282|FL4538283|FL4538284|FL4538285|FL4538286|FL4538287|FL4538288|FL4538289|FL4538290|FL4538291|FL4538292|FL4538293|FL4538294|FL4538295|FL4538296|FL4538297|FL4538298|FL4538299|FL4538300|FL4538301,"Includes:|Construction work at Sydney Opera House, Rows 1-3.|Two unidentified men in sports supply store with tennis racquets. Row 3.|Banner on enquiry desk and exterior of Sydney Hospital says ""What will you do without a Sydney City Hospital"", exterior of Sydney Hospital. Rows 4-5.|Small car tries to move through large crowd of students or demonstrators at Sydney University, people try to stop car. Rows 5-6.",,hospitals|building construction|tennis racquets|university students|motor vehicles|demonstrations|banners,,"University of Sydney (N.S.W.)|Sydney Opera House (N.S.W.)|Sydney Hospital (Macquarie Street, Sydney, N.S.W.)"
1,8.0,365,ITEM,"Item 365: Tribune negatives including Flo Davis testimonial dinner with W. Roser, J. Ducker, Audrey McDonald, M, McInerey, Sen. Lionel Murphy, L. Aarons, and J.J. Cahill,  Jack Bevan addressing apprentices at Sydney Technical College, Terry Hickman and Jim Donovan addressing Wharfies at Glebe Island canteen, football game at St Paul's Oval, September 1968",ON 161/Item 365,1344342,110374966,IE4543177,September 1968,1968-09-01 00:00:00,1968-09-30 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374966,http://archival.sl.nsw.gov.au/Details/archive/110374750,35,FL4543248|FL4543249|FL4543250|FL4543254|FL4543255|FL4543257|FL4543260|FL4543264|FL4543266|FL4543269|FL4543273|FL4543275|FL4543277|FL4543280|FL4543281|FL4543286|FL4543288|FL4543290|FL4543291|FL4543293|FL4543297|FL4543305|FL4543307|FL4543308|FL4543309|FL4543310|FL4543311|FL4543312|FL4543313|FL4543318|FL4543320|FL4543322|FL4543323|FL4543325|FL4543327,"Includes:|Flo Davis testimonial dinner at the Australian Hotel with W. Roser, J. Ducker, Audrey McDonald, M, McInerey, Sen. Lionel Murphy, L. Aarons, and J.J. Cahill. Rows 1-3.|Jack Bevan addressing apprentices of the Mechanical Engineering workshop, at the Sydney Technical College regarding Trade Unionism and Youth Week. Rows 3-4.|Terry Hickman and Jim Donovan addressing Wharfies at Glebe Island canteen regarding Youth Week Caravan Campaign Against Conscription. Rows 5-6.|Football game at St Paul's Oval, Sydney University, University Students v News Media. Row 6.",,dinners|university students|mechanical engineering|trade unions|wharf labourers|football,"Aarons, Laurie, 1917-2005|Cahill, J J (Mrs)|Murphy, Lionel, 1922-1986|Sydney Technical College|University of Sydney","St. Paul's College (University of Sydney, N.S.W.)"
1,8.0,366,ITEM,"Item 366: Tribune negatives including football game at St Paul's Oval, portrait of Ian Sinclair, BWIU conference, New Theatre rehearsal of War and Peace, presentation of a VW to the Federal Council for the Advancement of Aboriginals, September 1968",ON 161/Item 366,1344345,110374969,IE4542995,September 1968,1968-09-01 00:00:00,1968-09-30 00:00:00,1 negative,http://archival.sl.nsw.gov.au/Details/archive/110374969,http://archival.sl.nsw.gov.au/Details/archive/110374750,34,FL4543036|FL4543037|FL4543038|FL4543040|FL4543042|FL4543043|FL4543045|FL4543047|FL4543049|FL4543051|FL4543052|FL4543054|FL4543057|FL4543059|FL4543062|FL4543064|FL4543066|FL4543067|FL4543069|FL4543070|FL4543071|FL4543073|FL4543076|FL4543077|FL4543078|FL4543081|FL4543082|FL4543085|FL4543087|FL4543089|FL4543095|FL4543096|FL4543097|FL4543098,"Original negative sleeve titled: Sept '68|Includes:|Football game at St Paul's Oval, Sydney University, University Students v News Media. Row 1 no 1-2.|Portrait of Ian Sinclair. Row 2.|Building Workers' Industrial Union conference at Vine House. Row 3-5.|New Theatre rehearsal of War and Peace. Row 5 no 3-6, Row 6 no 1-2.|Presentation of a VW to the Federal Council for the Advancement of Aboriginals. Row 6, no 3-6.",,football|university students|trade unions|meetings|presentation ceremonies|theatrical productions,"New Theatre (Sydney, N.S.W.)|Federal Council for the Advancement of Aborigines and Torres Strait Islanders|Building Workers' Industrial Union of Australia.|Sinclair, Ian McCahon, 1929-","St. Paul's College (University of Sydney, N.S.W.)"
