series_number,part_number,item_number,level,title,call_number,object_number,priref,intellectual_entity,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
1,1.0,18,ITEM,"Item 018: Tribune negatives including Transport Workers Union of Australia meeting at Wentworth Park, Sydney, New South Wales, 1964",ON 161/Item 018,1046129,110370045,IE4515453,1964,1964-01-01 00:00:00,1964-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370045,http://archival.sl.nsw.gov.au/Details/archive/110366604,33,FL4515455|FL4515456|FL4515457|FL4515458|FL4515459|FL4515460|FL4515461|FL4515462|FL4515463|FL4515464|FL4515465|FL4515466|FL4515467|FL4515468|FL4515469|FL4515470|FL4515472|FL4515473|FL4515474|FL4515475|FL4515476|FL4515477|FL4515478|FL4515479|FL4515480|FL4515481|FL4515482|FL4515483|FL4515484|FL4515485|FL4515486|FL4515487|FL4515488,"Original negative sleeve titled No. 18 Sydney, Dec. 64.|Original negative sleeve annotated:|nos. 1-29 Transport Workers Union at Wentworth Park, Dec. 64|Includes:|T.W.U. meeting at Harold Park, Sydney, 15 December 1964.",Transport workers--Labor unions--New South Wales.|Labor unions--New South Wales--Sydney.,trade unionists|trade union officials|crowds|meetings|trade unions|posters & placards|workers,Transport Workers Union of Australia. New South Wales Branch,"Wentworth Park (Sydney, N.S.W.)"
1,1.0,26,ITEM,"Item 026: Tribune negatives including photographs of Fred Paterson, Alan Williams, and Matt Munro, and Eureka Youth League distributing pamphlets outside Sydney Cricket Ground, New South Wales, ca. 1963-1965",ON 161/Item 026,1048559,110370054,IE4516693,ca. 1963-1965,1963-01-01 00:00:00,1965-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370054,http://archival.sl.nsw.gov.au/Details/archive/110366604,34,FL4516695|FL4516696|FL4516697|FL4516698|FL4516699|FL4516700|FL4516701|FL4516702|FL4516703|FL4516704|FL4516705|FL4516706|FL4516707|FL4516708|FL4516709|FL4516710|FL4516711|FL4516712|FL4516713|FL4516714|FL4516715|FL4516716|FL4516717|FL4516718|FL4516719|FL4516720|FL4516721|FL4516722|FL4516726|FL4516727|FL4516728|FL4516729|FL4516730|FL4516732,"Original negative sleeve title illegible.|Original negative sleeve annotated:|Nos. 1-2 Aarons, Supeno[?], Alec Rob [Alec Robertson] July '63 / Meeting - Trib 10/7/63.|No. 3 NSW Uni students mascot[?].|No. 4 EYL [Eureka Youth League] Sth Africa leaflet SCG / Sth African protest, July 63.|Nos 5-6 BCF mass meet (State Office), May 63.|Includes:|Fred Patterson [Fred Paterson] & Self, Mat Munro, Students Action for Aborigines, 21 June 1965, Row 6, nos. 1-2.|Alan Williams at Central Workship [i.e. workshop], Main Roads Department, June Mills, 10 June 1965|[Women[?] for Peace rally]|[Thirroul A.S.C. Open Carnival 1964-1965 presentation of medals]",,meetings|workers|demonstrations|women|trade unionists,"Paterson, Fred, 1897-1977|Eureka Youth League (Australia)","Sydney Cricket Ground (Sydney, N.S.W.)"
1,1.0,33,ITEM,"Item 033: Tribune negatives including anti-Vietnam War demonstration, the May Queen onboard the Malaita, and bus conductor Sylvia Natt, March-April 1965",ON 161/Item 033,960075,110366606,IE468594,March-April 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110366606,http://archival.sl.nsw.gov.au/Details/archive/110366604,30,FL468596|FL468598|FL468600|FL468602|FL468604|FL468607|FL468609|FL468610|FL468612|FL468613|FL468615|FL468617|FL468618|FL468620|FL468622|FL468624|FL468626|FL468627|FL468629|FL468630|FL468632|FL468634|FL468635|FL468637|FL468639|FL468641|FL468643|FL468645|FL468647|FL468649,"Includes:|May Queen at the Seamen's office, Sydney, 25 March 1965|Bus girl, Sylvia Natt, at U.A.W. [Union of Australian Women] rooms. APA Building, Martin Place. The apprenticeship Commission (?), 31 March 1965|Wharfies demo outside of Phillip Street, Court regarding : Wages hearing, 5 April 1965","Vietnam War, 1961-1975--Protest movements--Australia.|Anti-war demonstrations--Australia.",bus conductors|demonstrations|posters & placards|women|workers|wharf labourers,Malaita (ship),
1,1.0,46,ITEM,"Item 046: Tribune negatives including Waterside Workers' Federation of Australia demonstration at Australian Stevedoring Industry Authority office and demonstration regarding Georgios Papandreou, New South Wales, July 1965",ON 161/Item 046,1050977,110370171,IE4518352,July 1965,1965-07-01 00:00:00,1965-07-31 00:00:00,32 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370171,http://archival.sl.nsw.gov.au/Details/archive/110366604,32,FL4518354|FL4518356|FL4518357|FL4518358|FL4518360|FL4518361|FL4518363|FL4518364|FL4518365|FL4518370|FL4518372|FL4518373|FL4518374|FL4518375|FL4518376|FL4518377|FL4518378|FL4518379|FL4518380|FL4518381|FL4518382|FL4518386|FL4518388|FL4518389|FL4518390|FL4518392|FL4518396|FL4518400|FL4518401|FL4518406|FL4518409|FL4518413,"Includes:|Wharfie hostages at Fed Rooms, 14 July 1965.||Tech. college students on Youth Week, 15 July 1965, Row 2, nos. 1-3.|Trucks waiting to unload at 25 Pyrmont, Row 2, nos. 4-6 ; W.W.F. [Waterside Workers' Federation of Australia] demo. at A.S.I.A. [Australian Stevedoring Industry Authority] office re hostages, 16 July 1965.|[Greek Australian demonstration, probably demonstration at Greek Consulate regarding Papandreou, 23 July 1965].",Demonstrations--New South Wales--Sydney.|Labor unions--New South Wales--Sydney.|Greeks--New South Wales--Sydney.,demonstrations|posters & placards|workers|youth|Bedford (trucks)|card games,Waterside Workers' Federation of Australia,
1,1.0,50,ITEM,"Item 050: Tribune negatives including Mick O'Brien and Ted Roach promoting Budget Lobby Train to Canberra, Wynyard Park, Sydney, August 1965",ON 161/Item 050,1051123,110370243,IE4519451,August 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,31 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370243,http://archival.sl.nsw.gov.au/Details/archive/110366604,31,FL4519453|FL4519466|FL4519468|FL4519471|FL4519472|FL4519477|FL4519479|FL4519482|FL4519485|FL4519486|FL4519489|FL4519496|FL4519497|FL4519501|FL4519504|FL4519506|FL4519507|FL4519512|FL4519513|FL4519516|FL4519519|FL4519521|FL4519524|FL4519527|FL4519529|FL4519531|FL4519532|FL4519535|FL4519537|FL4519538|FL4519544,"Includes:|Lobby Train trip to Canberra, 18 August 1965, Row 1.|[Mick O'Brien, from Australian Railways Union, and Ted Roach, from Waterside Workers' Federation of Australia, promoting Budget Lobby Train to Canberra, 18 August, Wynyard Park, Sydney].",Labor unions--Australia--Officials and employees.,trade union officials|workers|audiences|youth|meetings,"Roach, Edward Charles, 1909-1997|O'Brien, Michael, 1900–1967","Wynyard Park (Sydney, N.S.W.)"
1,2.0,59,ITEM,"Item 059: Tribune negatives including Sydney International Trade Fair and Vietnam War debate, Sydney, New South Wales, October 1965",ON 161/Item 059,1053937,110370348,IE4517081,October 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370348,http://archival.sl.nsw.gov.au/Details/archive/110366554,36,FL4517083|FL4517086|FL4517087|FL4517088|FL4517089|FL4517090|FL4517092|FL4517094|FL4517096|FL4517099|FL4517104|FL4517107|FL4517109|FL4517110|FL4517113|FL4517114|FL4517116|FL4517118|FL4517120|FL4517122|FL4517123|FL4517127|FL4517129|FL4517130|FL4517132|FL4517134|FL4517136|FL4517140|FL4517142|FL4517144|FL4517145|FL4517147|FL4517148|FL4517150|FL4517152|FL4517153,"Includes:|Sydney International Trade Fair (October 19-30) ; Ursula Lange, Press Department of the German Democratic Republic, 20 October 1965, Row 6 and 3, no. 6.|Vietnam War debate, All Nations club, Kings X [Kings Cross] : Dr. J. Cairns, Tom Hughes, 29 October 1965.|[Sydney Harbour]|[Office workers]",Trade shows--New South Wales--Sydney.,office workers|typists|women|harbours|meetings|audiences|trade shows|textile factories|glassware|figurines,"Cairns, Jim, 1914-2003|Hughes, T. E. F. (Thomas Eyre Forrest), 1923-|Sydney Trade Fair, (3rd : 1965 : Sydney, N.S.W.)",
1,2.0,61,ITEM,"Item 061: Tribune negatives including gatherings outside Trades Hall, Goulburn Street, Sydney, and Labor Council of New South Wales, Sydney, New South Wales, ca. November 1965",ON 161/Item 061,1054482,110370369,IE4516579,ca. November 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370369,http://archival.sl.nsw.gov.au/Details/archive/110366554,34,FL4516581|FL4516582|FL4516583|FL4516585|FL4516592|FL4516594|FL4516595|FL4516596|FL4516597|FL4516598|FL4516599|FL4516600|FL4516601|FL4516602|FL4516603|FL4516604|FL4516605|FL4516606|FL4516607|FL4516608|FL4516609|FL4516610|FL4516611|FL4516612|FL4516613|FL4516614|FL4516615|FL4516616|FL4516617|FL4516618|FL4516619|FL4516620|FL4516621|FL4516622,,Labor unions--New South Wales.,trade unionists|trade unions|trade union officials|workers|street scenes|city & town streets|funeral processions,,"Trades Hall (Goulburn Street, Sydney, N.S.W.)|Bulli (N.S.W.)"
1,2.0,65,ITEM,"Item 065: Tribune negatives including Soviet oil and wheat ship, Denis Kevans, and demonstration by rail and transport workers outside Treasury Building and Parliament House, Macquarie Street, Sydney, New South Wales, November 1965",ON 161/Item 065,1054973,110370410,IE4517828,November 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,32 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370410,http://archival.sl.nsw.gov.au/Details/archive/110366554,32,FL4517830|FL4517831|FL4517833|FL4517834|FL4517836|FL4517839|FL4517843|FL4517845|FL4517846|FL4517847|FL4517849|FL4517851|FL4517853|FL4517855|FL4517856|FL4517858|FL4517860|FL4517861|FL4517863|FL4517865|FL4517866|FL4517868|FL4517869|FL4517870|FL4517871|FL4517873|FL4517875|FL4517876|FL4517878|FL4517879|FL4517881|FL4517884,"Includes:|Soviet wheat & oil ship. Captain Romanov, D. Kevans, 9 November 1965.|Two crew of Soviet Wheatship, 10 November 1965	.|Demo at Trades Hall & march to Government House by rail & transport workers, 12 November 1965.",Demonstrations--New South Wales--Sydney.|Transport workers--Labor unions--New South Wales.,ships' captains|ships|crews|workers|demonstrations|street scenes,"Kevans, Denis, 1939-2005","Parliament House (Sydney, N.S.W.)|Old Treasury Building (Sydney, N.S.W.)|Macquarie Street (Sydney, N.S.W.)"
1,2.0,70,ITEM,"Item 070: Tribune negatives including workers at Australian Paper Mills, and Six Hour Day March, Sydney, New South Wales, October 1965",ON 161/Item 070,1055014,110370447,IE4519106,October 1965,1965-01-01 00:00:00,1965-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370447,http://archival.sl.nsw.gov.au/Details/archive/110366554,35,FL4519108|FL4519112|FL4519114|FL4519115|FL4519116|FL4519118|FL4519119|FL4519120|FL4519121|FL4519122|FL4519125|FL4519127|FL4519132|FL4519134|FL4519139|FL4519141|FL4519142|FL4519143|FL4519144|FL4519145|FL4519146|FL4519147|FL4519149|FL4519150|FL4519151|FL4519152|FL4519154|FL4519156|FL4519158|FL4519160|FL4519161|FL4519162|FL4519163|FL4519164|FL4519165,"Includes:|6-Hour Day March, [Sydney, N.S.W.], 4 October 1965.|Workers being interviewed at APM [Australian Paper Mills], 8 October 1965.",Labor movement--New South Wales.,banners|floats (processions)|posters & placards|street scenes|pensioners|workers|processions|city & town streets,,"Park Street (Sydney, N.S.W.)"
1,2.0,79,ITEM,"Item 079: Tribune negatives including demonstration by Kavanah and English workers, and the Australian Ballet at Sydney Airport, New South Wales, November 1965-January 1966",ON 161/Item 079,1055147,110370546,IE4519308,November 1965-January 1966,1965-11-01 00:00:00,1966-01-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370546,http://archival.sl.nsw.gov.au/Details/archive/110366554,36,FL4519310|FL4519311|FL4519312|FL4519313|FL4519314|FL4519315|FL4519316|FL4519317|FL4519318|FL4519319|FL4519320|FL4519321|FL4519322|FL4519323|FL4519324|FL4519325|FL4519326|FL4519327|FL4519328|FL4519329|FL4519330|FL4519331|FL4519332|FL4519333|FL4519334|FL4519335|FL4519336|FL4519337|FL4519338|FL4519339|FL4519340|FL4519341|FL4519342|FL4519343|FL4519344|FL4519345,"Includes:|The Australian Ballet at Sydney Airport; Kathy Gorham, 20 January 1966.|Kavanah & English workers demonstrate for wage increase, 23 November 1965.",Demonstrations--New South Wales--Sydney.|Ballet companies - Australia.,demonstrations|posters & placards|workers|meetings|audiences|airports|soft toys|ballet dancers,"Australian Ballet|Gorham, Kathleen, 1932-1983",
